epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,3.0650032278485773,0.027215627566521308,3.0345327377319338,0.025,0.001,19.256153345108032
2,2.988302567558831,0.062288549425090586,3.0368878841400146,0.025,0.001,19.115854501724243
3,2.9521257176783413,0.10333960996548466,3.0600601196289063,0.05,0.001,19.201605558395386
4,2.9532978975377375,0.0843840358556327,3.0524256229400635,0.125,0.001,19.175922870635986
5,2.9414514003771743,0.1002232639366826,3.048519992828369,0.1,0.001,19.537920713424683
6,2.9328945214149513,0.0912026861190756,3.013089418411255,0.1,0.001,19.531853437423706
7,2.9136912687129883,0.09696569628929538,3.031804418563843,0.125,0.001,19.937533140182495
8,2.8774612571390885,0.11199458780971377,3.111026954650879,0.025,0.001,19.06147074699402
9,2.8859403404579345,0.10285781973156506,3.088088274002075,0.075,0.001,19.67145347595215
10,2.86779031482353,0.11929431415556271,3.0724820137023925,0.125,0.001,19.510869026184082
11,2.853460092680149,0.09416609305255393,3.0956379413604735,0.05,0.001,19.512052536010742
12,2.8859496455621945,0.07715749651851427,3.084540033340454,0.075,0.001,19.675050020217896
13,2.866562216202795,0.11852306596358371,3.0736222743988035,0.05,0.001,19.499593257904053
14,2.8584964682140623,0.11014741380904329,3.065511178970337,0.075,0.001,18.75428533554077
15,2.859227214379333,0.13017024912389377,3.053952693939209,0.075,0.001,19.17574977874756
16,2.858661004152343,0.11518248698868105,3.1437310695648195,0.025,0.001,19.126065731048584
17,2.8429384728743567,0.11801300742207621,3.1149433612823487,0.075,0.001,19.372401475906372
18,2.8057332660349625,0.13149693130740986,3.1346786975860597,0.05,0.001,18.52984881401062
19,2.777362718401362,0.12526503579745282,3.143929672241211,0.075,0.001,19.718894958496094
20,2.799665164043553,0.15010751444056267,3.135276699066162,0.05,0.001,19.28744649887085
21,2.7543217593459723,0.1642957796006423,3.148675489425659,0.1,0.001,19.917200565338135
22,2.781724416814144,0.1310932046891176,3.1524758338928223,0.05,0.001,19.500852346420288
23,2.8105760908804798,0.12454056472365539,3.163173246383667,0.075,0.001,19.258710145950317
24,2.805566658905897,0.10856756696439035,3.1323800086975098,0.1,0.001,19.217920780181885
25,2.762192369072358,0.13776160139546373,3.1668802738189696,0.075,0.001,19.444186687469482
26,2.809306857710201,0.12063354265036189,3.1344888687133787,0.075,0.001,18.72321343421936
27,2.8107320719985602,0.10762641171556182,3.138807249069214,0.075,0.001,19.456990480422974
28,2.776957002296267,0.12981243417969138,3.157203769683838,0.075,0.001,19.810503005981445
29,2.7771913496803897,0.14655315489974874,3.1177972316741944,0.075,0.001,20.02926516532898
30,2.7498662358776653,0.15520775054381317,3.1921518325805662,0.075,0.001,20.734195470809937
31,2.748906126519515,0.10924944295644956,3.243350601196289,0.05,0.001,19.72695541381836
32,2.7362746051137483,0.15141054079104618,3.2318697929382325,0.075,0.001,18.716145277023315
33,2.755997586589289,0.12876384210036287,3.2031836986541746,0.1,0.001,20.275924682617188
34,2.714491944742429,0.166415174011721,3.2239572525024416,0.075,0.001,17.926377773284912
35,2.796621806248669,0.10934823873881831,3.129645013809204,0.1,0.001,19.174346446990967
36,2.6899256344655114,0.14128574876544178,3.2114145755767822,0.075,0.001,19.088286876678467
37,2.7609985202409644,0.16264035726359324,3.1987096309661864,0.075,0.001,19.2984778881073
38,2.730064966102347,0.11792428554204172,3.2159948348999023,0.075,0.001,19.22096276283264
39,2.72380806371499,0.11681562475008622,3.2449568271636964,0.075,0.001,19.25085759162903
40,2.728638830908102,0.1284155438671276,3.1879281044006347,0.05,0.001,19.20657253265381
41,2.702804314581704,0.15695513075002165,3.2396461963653564,0.075,0.001,19.07656693458557
42,2.6799486542200026,0.15357836282909243,3.2530291080474854,0.075,0.001,19.35644030570984
43,2.7033990480323538,0.1615322524054347,3.171962785720825,0.1,0.001,19.28014826774597
44,2.7093465283018716,0.1571277498304561,3.2337159633636476,0.075,0.001,19.008994579315186
45,2.7403580882537986,0.14988870740235302,3.2954469680786134,0.05,0.001,19.052136182785034
46,2.745929959825995,0.12695564037335982,3.2498361587524416,0.075,0.001,19.31672477722168
