epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,2.408891740145984,0.13513513513513514,2.609667158126831,0.0,0.0005,6.559147834777832
2,2.1850516022862614,0.22522522522522523,2.4603272914886474,0.15,0.0005,5.14475679397583
3,2.010876204516437,0.26126126126126126,2.371139097213745,0.1,0.0005,5.219726800918579
4,1.9824430727743887,0.2972972972972973,2.3540710687637327,0.15,0.0005,4.951113224029541
5,1.9278708213084452,0.34234234234234234,2.425318956375122,0.15,0.0005,5.947185039520264
6,1.8583948537036106,0.40540540540540543,2.3784087657928468,0.1,0.0005,6.177457571029663
7,1.8855311548387683,0.38738738738738737,2.8002087593078615,0.05,0.0005,5.091330528259277
8,1.8156451717153326,0.38738738738738737,2.722514533996582,0.1,0.0005,6.085793972015381
9,1.8506785931887928,0.36936936936936937,2.60550537109375,0.15,0.0005,5.693796396255493
10,1.8447328945537944,0.4144144144144144,2.609353446960449,0.1,0.0005,5.787067174911499
11,1.846052208462277,0.36936936936936937,2.855328989028931,0.1,0.0005,6.283047437667847
12,1.7815146038124152,0.40540540540540543,2.617842960357666,0.1,0.0005,5.786150693893433
13,1.7598989192429964,0.3963963963963964,2.645476150512695,0.1,0.0005,6.285609245300293
14,1.7618828485677909,0.45045045045045046,2.6982062339782713,0.15,0.0005,6.043525695800781
15,1.8539325546573948,0.36936936936936937,2.6979015827178956,0.1,0.0005,6.1224753856658936
16,1.6808930785806329,0.4594594594594595,2.670503091812134,0.1,0.0005,5.283674478530884
17,1.7112450707066167,0.45045045045045046,2.6085588693618775,0.1,0.0005,5.38566255569458
18,1.7023011746707264,0.4594594594594595,2.8637270450592043,0.1,0.0005,5.274549961090088
19,1.6961355907423001,0.43243243243243246,2.6501835107803347,0.2,0.0005,6.081022262573242
20,1.6097635245537973,0.5135135135135135,2.797083854675293,0.1,0.0005,5.385245323181152
21,1.7818929118079108,0.42342342342342343,2.7287078857421876,0.1,0.0005,5.075972080230713
22,1.640494524895608,0.4864864864864865,2.692259979248047,0.15,0.0005,5.176893949508667
23,1.6919121806685988,0.35135135135135137,2.6936108827590943,0.15,0.0005,5.191504716873169
24,1.77488670477996,0.4144144144144144,2.8392588615417482,0.15,0.0005,5.085133075714111
25,1.652317683975976,0.4864864864864865,2.8049834251403807,0.15,0.0005,5.184245586395264
