epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,2.398091511683421,0.10368935253365358,2.3341597080230714,0.15,0.001,5.47759222984314
2,2.2459017285355576,0.18687822255339623,2.234700870513916,0.25,0.001,4.851430892944336
3,2.1647113443494916,0.23555729201474299,2.2280223846435545,0.15,0.001,4.92013144493103
4,2.0790182749430337,0.30887086931017144,2.12919397354126,0.3,0.001,4.796759128570557
5,1.9843588648615658,0.35709509548769053,2.0818409442901613,0.25,0.001,5.072616338729858
6,1.897021115363181,0.4048804555319899,2.043997859954834,0.25,0.001,5.125415563583374
7,1.6750183964634802,0.5070384301518418,2.306880807876587,0.3,0.001,4.736100673675537
8,1.6747501347516034,0.503121110245579,2.2066322326660157,0.3,0.001,5.074061870574951
9,1.5226606248735308,0.5856424320578819,1.8943477630615235,0.45,0.001,5.080947637557983
10,1.5525978792895068,0.5690356917072945,1.9435291767120362,0.15,0.001,4.947526693344116
11,1.3694336049191587,0.6762684163647319,1.5102976322174073,0.6,0.001,5.20130181312561
12,1.481835412549543,0.5901382909703423,2.333640623092651,0.3,0.001,4.753064393997192
13,1.306339861036421,0.6819515383765886,2.1296331882476807,0.3,0.001,4.798174858093262
14,1.2585472083306528,0.6635986406922886,2.1243056535720823,0.4,0.001,5.074519872665405
15,1.2532066826347832,0.6882396733547839,1.4024612665176392,0.7,0.001,5.06594443321228
16,0.9017488403363271,0.8735295926788093,1.5037637233734131,0.55,0.001,4.7855658531188965
17,1.19733697444469,0.7858945751202955,2.230762577056885,0.4,0.001,4.8763837814331055
18,0.9352022200017363,0.8702983947318096,2.1776342153549195,0.4,0.001,4.804896831512451
19,1.0739751442058667,0.7804402785911734,1.713408851623535,0.45,0.001,5.08741021156311
20,0.9459125587532112,0.8616560407852681,1.6659006595611572,0.55,0.001,5.085252523422241
21,1.079613971280622,0.8096612150528666,1.56702880859375,0.6,0.001,5.093600749969482
22,1.0646174201020249,0.7953811445645829,1.5136491775512695,0.6,0.001,4.888892650604248
23,0.8862227808247816,0.8609399069773638,2.0808193683624268,0.3,0.001,4.890418529510498
24,0.8501450113348059,0.8940012663638331,1.301965856552124,0.7,0.001,4.890974760055542
25,1.0045183005633656,0.8509093710901128,1.594406819343567,0.55,0.001,4.7443928718566895
26,1.0079363530820555,0.8501592237541916,1.5288450241088867,0.55,0.001,4.795075178146362
27,0.9191885934219705,0.8867618936523682,1.7777146816253662,0.65,0.001,4.882317781448364
28,1.1226692554113027,0.8084140652510623,1.8836556911468505,0.55,0.001,4.793815851211548
29,0.9715030515516127,0.8542798820931958,1.7951407432556152,0.6,0.001,4.785933971405029
30,0.8192843392088607,0.8925807578603246,1.4523010730743409,0.65,0.001,4.879238605499268
31,0.8607019873352738,0.8761371744993081,1.461946392059326,0.6,0.001,4.796149015426636
32,0.9735310378375354,0.8173894864641661,1.467540192604065,0.7,0.001,5.082220554351807
33,0.8342484633127848,0.8978959452550427,1.642310333251953,0.55,0.001,4.997584581375122
34,0.9092832707070015,0.8780080590775053,1.398555326461792,0.65,0.001,5.295139789581299
35,0.7835738218582429,0.9023624446555591,1.5554742336273193,0.65,0.001,4.9891321659088135
36,0.8680018363772212,0.8769063511954122,1.5088054418563843,0.55,0.001,4.8908772468566895
37,0.8515944733276023,0.8908522105039219,1.5503365516662597,0.5,0.001,4.7952799797058105
38,0.9866952863899437,0.8531183926056647,1.2433837413787843,0.6,0.001,4.786549091339111
39,1.0654992547121134,0.8150443913313603,1.469010853767395,0.65,0.001,4.8517725467681885
40,0.8226997626794351,0.9065973375498048,1.3184258937835693,0.65,0.001,5.1736671924591064
41,0.7541780026109369,0.9041051671360657,1.7812986373901367,0.6,0.001,4.984506607055664
42,0.8368411735371426,0.8900592131770735,1.4758149147033692,0.65,0.001,4.869328498840332
43,0.9487647548452154,0.8667534175754368,1.5769777297973633,0.55,0.001,4.7898149490356445
44,0.8449981013933817,0.8975292115338162,1.3429993867874146,0.7,0.001,5.088134765625
45,1.0207992137015403,0.8317792030495192,1.3959679841995238,0.6,0.001,4.982845067977905
46,0.816364817791157,0.9008945229309345,1.2881271600723267,0.7,0.001,4.876161575317383
47,0.8720834964030498,0.8863588528491937,1.44941143989563,0.65,0.001,4.882109880447388
48,0.8926447033882141,0.8944707749938063,1.5740273475646973,0.6,0.001,4.988583326339722
49,0.7763642137115067,0.9290382412626497,1.4111397027969361,0.65,0.001,4.882335662841797
50,0.9326222995380024,0.888663057384159,1.5179267644882202,0.65,0.0005,4.778346061706543
51,1.039040530050123,0.8270090695208434,1.5455039501190186,0.65,0.0005,4.891699552536011
52,0.9321373593699824,0.8558298683147345,1.5621670246124268,0.65,0.0005,4.889700174331665
53,0.7801150910489194,0.9279706629471955,1.4767354488372804,0.65,0.0005,4.991542339324951
54,0.7918600144686999,0.9182018822501249,1.4067460298538208,0.65,0.0005,4.984301805496216
55,0.7662936653102841,0.9350985168673709,1.4595502376556397,0.6,0.0005,4.988157510757446
56,0.7568541690035984,0.9299599879013228,1.449225115776062,0.65,0.0005,4.985118389129639
57,0.8019140233864656,0.9045219945401293,1.5062843322753907,0.6,0.0005,4.769202947616577
58,0.6725110959362339,0.9504293907750924,1.5735627174377442,0.6,0.0005,4.888460636138916
59,0.8093486396042077,0.9024317545070156,1.58804612159729,0.6,0.0005,4.778932571411133
60,0.7513406695546331,0.9273967796804522,1.3009228467941285,0.7,0.0005,4.783064603805542
61,0.8795589498571448,0.8812193764381202,1.2619205951690673,0.7,0.0005,4.979135036468506
62,0.815786848734091,0.9029412898150392,1.4739338874816894,0.6,0.0005,4.78780198097229
63,0.8854498020163527,0.889593596125648,1.623758029937744,0.5,0.0005,4.885455846786499
64,0.9210908735120619,0.8741141055334142,1.6000789403915405,0.55,0.0005,4.980865478515625
65,0.6500575483382285,0.9687294637158699,1.5225288629531861,0.55,0.0005,4.882152318954468
66,0.9944623955735216,0.8277234296516659,1.512882685661316,0.6,0.0005,4.794970989227295
67,0.8184622381184552,0.9075976588838202,1.5021239995956421,0.65,0.0005,4.982640981674194
68,0.924508505039387,0.8671453437174209,1.6325698852539063,0.55,0.0005,4.875941753387451
69,0.6629270191665169,0.9571793687510244,1.5821461439132691,0.5,0.0005,4.793169021606445
70,0.9215239082370792,0.8699818599389529,1.4798247575759889,0.55,0.0005,4.782699108123779
71,0.7062633536957406,0.9413746461482164,1.396458888053894,0.55,0.0005,5.0698113441467285
72,0.6982400551572576,0.9416535601902658,1.3827619075775146,0.6,0.0005,4.995770692825317
73,0.8325698236087421,0.8992735615640031,1.5916273593902588,0.65,0.0005,5.178498029708862
74,0.6979315903809693,0.9468203727381869,1.408969521522522,0.6,0.0005,4.778130292892456
75,0.8047002113617219,0.9089993217943875,1.443390464782715,0.6,0.0005,5.079129457473755
76,0.7943963075543309,0.9059114103319924,1.4612648248672486,0.6,0.0005,4.885584354400635
77,0.8958860957944715,0.8794248499583529,1.4737456560134887,0.6,0.0005,4.884685516357422
78,0.6908360580066303,0.9566887305270335,1.3418111085891724,0.6,0.0005,4.77847957611084
79,0.8045963081153663,0.9052364623556717,1.2697062730789184,0.7,0.0005,4.8876426219940186
80,0.7504728388141941,0.9357381690758985,1.29706814289093,0.65,0.0005,4.89283013343811
81,0.6808436786806261,0.9466409916770302,1.3393174171447755,0.65,0.0005,4.87714409828186
82,0.8508399810876932,0.8786756341247544,1.4316581249237061,0.6,0.0005,5.0717620849609375
83,0.6360625903885644,0.9649379722998557,1.3208475828170776,0.65,0.0005,4.7790892124176025
84,0.8917848247665543,0.8711586164084012,1.2442694425582885,0.7,0.0005,4.782455921173096
85,0.7981859880524713,0.9171871268422318,1.37979154586792,0.6,0.0005,4.893550872802734
86,0.8358187519752227,0.8891891778644384,1.4339568138122558,0.65,0.0005,4.8812220096588135
87,0.8603202292511055,0.887166081119225,1.5628253936767578,0.55,0.0005,4.878791570663452
88,0.9062277433034536,0.8756828598157023,1.504125189781189,0.55,0.0005,4.895627021789551
89,0.6782363846495345,0.9436471415105562,1.4993077278137208,0.55,0.0005,4.781299591064453
90,0.8642365035710035,0.8913091759600469,1.456380295753479,0.6,0.0005,4.884691476821899
91,0.753779352248252,0.915780623328459,1.4988052368164062,0.55,0.0005,4.78177547454834
92,0.723323512721706,0.9304620428111886,1.3486386775970458,0.6,0.0005,4.8854875564575195
93,0.8260716618718328,0.8974963796745493,1.3253037929534912,0.7,0.0005,4.794219732284546
94,0.781262312386487,0.9266742921657684,1.4196554899215699,0.65,0.0005,4.791709899902344
95,0.669107680922156,0.9593150099048499,1.4226746320724488,0.6,0.0005,4.78879714012146
96,0.6414297051257916,0.963494088023002,1.3301806926727295,0.65,0.0005,5.084154367446899
97,0.6311315733033258,0.9718547540561354,1.3385966300964356,0.7,0.0005,4.89566707611084
98,0.7146655020413099,0.9471049209208854,1.3344226598739624,0.7,0.0005,4.986519813537598
99,0.8393249495609386,0.8744586549377068,1.222512912750244,0.8,0.0005,4.989134073257446
100,0.7394821267944198,0.9350882389206528,1.0959173440933228,0.75,0.00025,4.83521032333374
