epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,2.457398597184602,0.09009009009009009,2.446370267868042,0.1,0.0001,7.45016074180603
2,2.371003110129554,0.14414414414414414,2.395309066772461,0.05,0.0001,6.341700315475464
3,2.2258876422504046,0.1981981981981982,2.3731311321258546,0.1,0.0001,6.445086240768433
4,2.218973460498157,0.21621621621621623,2.341581344604492,0.15,0.0001,6.351729154586792
5,2.1140494389576956,0.25225225225225223,2.3165299892425537,0.2,0.0001,6.4567906856536865
6,2.0440204916773617,0.2882882882882883,2.3586225509643555,0.1,0.0001,6.361088752746582
7,2.097052494684855,0.23423423423423423,2.3906848430633545,0.1,0.0001,6.778611183166504
8,2.04016518807626,0.27927927927927926,2.46108341217041,0.1,0.0001,6.584919214248657
9,2.009016213116345,0.2702702702702703,2.4793667793273926,0.1,0.0001,6.492492437362671
10,2.0726132800987176,0.2702702702702703,2.398459529876709,0.05,0.0001,6.491883277893066
11,1.960875416661168,0.2702702702702703,2.412501573562622,0.1,0.0001,6.458885669708252
12,1.926120924520063,0.3783783783783784,2.395126962661743,0.15,0.0001,6.5205793380737305
13,1.9400319763132043,0.3063063063063063,2.3932673931121826,0.15,0.0001,6.585777282714844
14,1.9665414986309704,0.35135135135135137,2.396403360366821,0.15,0.0001,6.48656702041626
15,1.9736983024322234,0.2972972972972973,2.4043600082397463,0.1,0.0001,6.403928756713867
16,1.7755183400334538,0.44144144144144143,2.3959168672561644,0.1,0.0001,6.283970832824707
17,1.858191475137934,0.36036036036036034,2.446257162094116,0.2,0.0001,6.4007227420806885
18,1.8695928384591867,0.3963963963963964,2.4752291679382323,0.2,0.0001,6.4883644580841064
19,1.8040859677770116,0.40540540540540543,2.4344634056091308,0.15,0.0001,6.393027067184448
20,1.7870497456542007,0.44144144144144143,2.447237825393677,0.15,0.0001,6.389378786087036
21,1.787302809792596,0.43243243243243246,2.4311830043792724,0.2,0.0001,6.391637325286865
22,1.7326230927630588,0.44144144144144143,2.476988935470581,0.15,0.0001,6.392335653305054
23,1.6939010459023554,0.4594594594594595,2.482706308364868,0.15,0.0001,6.385470867156982
24,1.7401798544703304,0.4144144144144144,2.5073555946350097,0.1,0.0001,6.197608232498169
25,1.6893975025898702,0.45045045045045046,2.4488264083862306,0.15,0.0001,6.490156650543213
26,1.797934222865749,0.42342342342342343,2.415564680099487,0.15,0.0001,6.389433145523071
27,1.6333708602028925,0.5585585585585585,2.4131248950958253,0.15,0.0001,6.397067308425903
28,1.6474075016674694,0.5315315315315315,2.4173312187194824,0.15,0.0001,6.37952733039856
29,1.6381682393787143,0.5045045045045045,2.407471466064453,0.15,0.0001,6.498811483383179
